line_count;en;lt;translated_text;error_code
268;Oh yes, I'm  very interested in paintings.;O taip. Man  patinka tapyba.;Man patinka tapyba.;3, 3
269;What kind of  paintings are you particularly interested in?;Kokia tapybos rūšimi Jūs daugiausiai domitės?;Kokia tapybos rūšimi Jus daugių domitės?;12, 12
270;Expressionist  paintings like the ones by Kandinsky and Schmidt-Rotluf for  example. I like both very much.;Ekspresionistai, pavyzdžiui tokie kaip Kandinskis ir  Šmidt-Rotlufas. Aš juos abu mėgstu.;Ekspresionistai, pavyzdžiui tokie kaip Kandinskis ir Šmidt-Rotlufas. Aš juos abu mėgstu.;0
271;So you are  only interested in modern art?;Taigi, Jūs domitės tik moderniu menu?;Taigi, Jūsų namų tik modernų meniu?;9, 13, 9, 13
272;No, I'm also  interested in the impressionists, but not as much.;O ne. Man  patinka ir impresionistai, nors ne perdaug.;Man patinka ir impresionistai, nors ne perdaug.;3, 3
273;I 'm not  interested in paintings at all, only in photography.;O man visai  nepatinka tapyba. Aš domiuosi fotografija.;O vyras visai nepatinka tapyba. Aš domiesi fotografija.;13, 9
274;Talking  about the weather;Pokalbis apie orą;Pokalbis apie;3
275;Do you know  what the weather is going to be like?;Ar žinote, koks bus oras?;Ar žinote, koks bus oras?;0
276;"Yes, I happen  to know it; I've seen the weather report.";Taip, atsitiktinai perskaičiau orų prognozę.;Taip, atsitiktinai persikaičiau orų prognozė.;9
277;What's the  weather like in London?;Koks bus oras  Londone?;Koks autobusas iš Londono?;13, 13
278;"In London  it's cool; but it's going to improve.";Bus vėsu, bet žada pasitaisyti.;Bus vėsu, bet žada pasitaikys.;13
279;And what's  the weather in Berlin going to be like?;O koks bus  oras Berlyne?;O koks autobusas ar Berlyne?;13, 13
280;Here it's  going to stay warm, just as yeterday. Here it's going to be a lovely  summer.;Ž  ada būti  saulėtas ir šiltas, toks kaip vakar. Puiki vasara!;<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>;16
281;You are quite  right.;Jūs teisus.;Mes teisūs.;9
282;It's fairly  warm already.;Jau net dabar  šilta.;Dau net dabar šilta.;12
283;According to  the report, we will get as much as 30o centigrade today.;Pagal prognozę bus šiandien 30  o šilumos.;Pagal prognozę autobusų šindien 30 o šilumos.;13, 12
284;Do  you like it?(To express likes);Ar  Jums patinka?;Ar Jums patinka?;0
285;Do you like  Berlin?;Ar patinka  Jums Berlynas?;Ar patinka Jus Berlynas?;5, 9
286;Oh, yes very  much.;Taip, labai  patinka.;Taip, labas patinka.;13
287;What do you  like best?;O kas  daugiausiai patinka?;O kas daugiaus patinka?;12
288;I like the  National Gallery and Schloss Charlottenburg best.;Daugiausiai Nacionalinė galerija ir Šarlotenburgo pilis.;Daugių nacionalinė galerija ir Šarlotenburgo pilis.;12
289;But also like  the Court Gardens.;Taip pat  patinka pilies sodas.;Taip pat pat patinka pilies sodos.;0
290;Would you like  to live in Berlin?;Ar norėtumėte gyventi Berlyne?;Ar norėtutėte giventi Berlyne?;12, 12
291;Oh  yes, that  would be good. I would speak German a lot better then.;Tai būtų puiku. Aš geriau kalbėčiau vokiškai.;Tai ūsų puiku. Aš geriau kalbėčiau vokiškai.;12
292;Where do you  live then?;Kur Jūs gyvenate?;Kur mes gyvenate?;9
293;I live in  London, and you?;Aš gyvenu Londone, o Jūs?;Aš givenu Londone, o jūs?;12, 14
294;"I have been  living here in the ""Spreemetropolis' for the past 40 years. I'm a genuine Berliner.";Aš gyvenu čia Šprimetropolyje jau keturis metus. Esu tikras  berlynietis.;Aš givenu čia Šprimetropolyje jau keturis metus. Esu tikras berlynietis.;12
295;To  discuss methods of payment;Apie mokėjimo būdus;Apie Mokomąjį Būdą;12, 13, 12, 9
296;That comes to  125 marks 50.;Tai bus 125 markės ir 50.;Tai autobusas 125 markės ir 50.;13
297;I haven't got  that much on me, sorry.;Gaila, prie savęs aš neturiu tiek daug.;Gaila, prie savos aš neturiu tiek daug.;11
298;That doesn't  matter. You can pay by credit card.;Tai nieko. Jūs galite mokėti kreditine kortele.;Tai nieko. Jūs galit<unk> mok<unk> ti kreditine kortele.;12
299;Do you also  take cheques?;O ar galiu čekiais?;O gal ir čekiai?;13, 13, 9
300;Yes, if you  have a valid cheque card (on you).;Taip, jeigu  jie galiojantys.;Taip, jeigu jie galiojantys.;0
301;Yes, of course.;Taip, žinoma.;Taip, žinoma.;0
302;All right  then. Please make the cheque payable to Zille and Co.;Gerai. Išrašykite tada čekį Ciles ir Ko vardu.;Gerai. Išrašikite tada čekį Ciles ir Ko vardu.;12
303;And here is  my cheques card.;Štai čekis, prašau.;Štai čekis, prašau.;0
304;Ah,  see, you  are English? You speak German very well.;Ach, Jūs anglas? Bet Jūs kalbate puikiai vokiškai.;Ach, Jūs anglas? Bet Jūs kalbate puikiai vokiškai.;0
305;Congratulations!;Sveikinu!;Sveikinu!;0
306;Thank you  very much.;Ačiū.;Ačiū.;0
307;To  express quality;Apie dovanas (kokybė);Apie dovanas (kokybė);0
308;Have a look at  the present I bought.;Pažiūrėk, kokią dovaną aš nupirkau.;Pažiūrėk, kokią dovaną aš nupirkau.;0
309;Oh, a  wallet,  made of leather.;O, piniginė, ir odinė.;O, piniginė, ir odinė.;0
310;Who is it  for.;Kam tai?;Kam tai?;0
311;For  Max, for  his birthday.;Maksui, jo  gimtadienis.;Maksui, jo gimtadienis.;0
312;"I bought a  spectacle case made from a nice piece of cloth for him; and from his girlfriend he is  getting a genuine silver ring.";O aš nupirkau jam dėklą akiniams iš gražios medžiagos o nuo  savo mergaitės jis gaus tikrą sidabrinį žiedą.;O aš nupirkau uogiene drėkinti akiniams išgraužti mediagos o nuo savo mergaitės jis gaus tikrą sidabrinę žiedę.;13, 13, 13, 12, 9, 9
313;Really?;Tikrai?;Tikrai?;0
314;Yes, made of  real silver.;Taip, tikrą sidabrinį.;Taip, tikrą sidabrinę.;9
315;He is well off  this year.;Jam sekasi  šiemet.;Jam sekasi šiemet.;0
316;To  describe a person;Apibūdinti asmenį;Apibudinti asmenis;12, 9
317;Could you  please meet my uncle at 12.57?;Ar negalėtum 12.57 sutikti mano dėdę?;Ar negalėtum 12.57 sutikti mano dieną?;13
318;I'm  busy.;Aš neturiu  laiko.;Aš neturiu laiko.;0
319;From the  station, you mean?;Turi galvoje,  nuo stoties?;Turi galvoje, nuo stoties?;0
320;Okay, what  does he look like?;Na gerai, o  kaip jis atrodo?;Na gerai, o kaip jis atrodo?;0
321;He is very  tall, about 6', and he's rather fat.;Jis labai  aukštas, apie 1,8 m, ir pilnas;Jis labai aukštas, apie 1,8 m, ir pilkas;13
322;Does he wear  glasses?;Ar jis  nešioja akinius?;Ar jis nešioja akinius?;0
323;Yes, and he is  always very elegantly dressed. Most of the time in a dark suit, and he is always carrying  a briefcase.;Taip, jis visada apsirengęs elegantiškai. Dažniausiai tamsiu  kostiumu, visada su portfeliu.;Taip, jis visada apsirengęs elegantiškus. Dažniaus tamsiu kostiumu, visada su portfeliu.;11, 12
324;There are  hundreds of those types. What's his name then?;Tokių šimtai. Koks gi jo vardas ir pavardė?;Tokių šimtai. Koks gi jo vardas ir pavardė?;0
325;Heinrich  Meier, the same as me.;Henrikas  Mejeris, kaip ir aš.;Henrikas Mejeris, kaip ir aš.;0
326;Get  well wishes;Palinkkėimai pasveikti.;Palinkėjimai pasveikti.;0
327;Have you  anything planned for today?;Ar ką nors šiandien planavai?;Ar ką nors šiandien planavai?;0
328;Yes, I have to  go to the hospital.;Taip, turiu nueiti į ligoninę.;Taip, turi nueiti į ligoninę.;9
329;Oh, what's  hapenned then?;O kas  atsitiko?;O kas atsitiko?;0
330;My granndad is  in hospital.;Mano senelis ligoninėje.;Mano senelis ligoninėje.;0
331;I'm going to  visit him;Norėčiau jį aplankyti.;Norėčiau, kad būtų aišku.;16
332;He's had an  accident, you know.;Tu gi žinai, jis buvo papuolęs į avariją.;Tu gi žynai, jis buvo papuolęs į avariją.;12
333;Oh,  dear, how  is he then?;O kaip jis  dabar?;O kaip jis dabar?;0
334;He's better  now, thank goodness.;Ačiū Dievui, dabar jaučiasi geriau.;Ačiū Dievui, dabar jaučiasi gerau.;0
335;He has had a  car accident, you know,;Tai buvo automobilio avarija, tu žinai.;Tai buvo automobilio avarija, tu žiureti.;13
336;Well, when I  think of it, I feel sort of queasy.(lit.);Kai aš apie  tai galvoju, man tiesiog bloga.;Kai aš apie tai galvoju, vyras tieciog bloga.;13, 12
337;I'm sorry for  him. He meant to fly to Zurich, didn't he?;Man gaila. Jis norėjo į Ciuriką skrįsti, ar ne?;Man gaila. Jis norėjo į Ciuriką skrįsti, ar ne?;0
338;Yes today  (exactly). He was really unfortunate.;Tiksliai,  šiandien. Jam tiesiog nepasisekė.;Tiksliai, šiandiena. Jam tiesiog nepasisekė.;11
339;Ich wish him a  speedy recovery.;Linkiu jam kuo greičiau pasveikti.;Linkiu jam kuo greičiau pasveikti.;0
340;Thanks. Bye  for now.;Ačiū. Kol kas.;Ačiū. Kol kas.;0
341;Cheers.;Iki.;Iki.;0
342;The  mysterious briefcase;Paslaptingas  portfelis;Paslaptingo portfelis;0
343;Well,  Mrs. B.  I say, your briefcase looks very smart.;O, ponas B., Jūsų portfelis atrodo labai įdomiai.;O, ponas B., Jūsų portelis atrodo labi įdomiai.;12, 12
344;What have you  got in it?;Ką Jūs ten turite?;Ką jūs ten turit?;14, 11
345;I don't know  myself, actually.;Aš iš tikrųjų pats nežinau.;Iš čia svečiai gali mėgautis lengvu susisiekimu.;16
346;What? Do you  mean that you don't know what's in your case?;Ką? Jūs sakote, kad pats nežinote, ką turite portfelyje?;Ką? Jūs sakote, kad paats nežinote, ką turit portlelyje?;12, 11
347;That's what I  said.;Taip, kaip girdėjote.;Taip, kaip girdėjote.;0
348;Don't you want  to know it?;Ir nenorite žinoti?;Ir nenorite žinių?;11
349;Of course I do.;Žinoma, noriu.;Žinoma, noriu.;0
350;Then I would  certainly feel better.;Jausčiausi tada geriau.;Jausčiausi tada gerau.;12
351;Why don't you  have a look then?;Tai kodėl tada nepažiūrite?;Tai kodėl tada nepažiūrite?;0
352;"Okay then;  here, look for yourself.";Gerai,  pažiūrėk pats.;Gerai, pažiūlėk pats.;12
353;Only papers,  nothing but papers.;Nieko, tik  popieriai.;Nieko, tik popieriai.;0
354;Are you  feeling better now?;Ar dabar Jums  geriau?;Ar Dabaras Jusas Geriau?;13, 12, 12
355;At a  Party,  talking about a family.;Vakarėlyje,  apie šeimą;Vakarėlyje, apie šeimą;0
356;We haven't seen  each other for ages. How are your children?;Šimtą  metų nesimatėme. Kaip Jūsų vaikai?;Šimtos metų nesimateme. Kaip Jūsų vaikams?;9, 12, 9
357;You have got  two,  haven't you?;Jūs  turite du, ar ne?;Jūs turite du, ar ne?;0
358;That's  right.  Since we last met my daughter has married.;Taip.  Nuo to laiko, kai buvome susitikę, mano duktė ištekėjo.;Taip. Nuo iki laiko, kai buvome susitikę, mano duktė ištekėjo.;13
359;Your daughter is  a doctor, isn't she?;Jūsų  duktė gydytoja, ar ne?;<unk> <unk> <unk> <unk> <unk> , ar ne?;16
360;No, my wife is a  doctor.;Ne,  mano žmona yra gydytoja.;Ne, mano žmona yra gydytoja.;0
361;My daughter is  still at university, and my son as well.;Mano  duktė dar studijuoja universitete, taip pat ir sūnus.;Mano duktė dar studentas universitete, taip pat ir sunus.;11, 12
362;What do they  study then?;Ką jie  studijuoja?;Ką jie studijuoja?;0
363;Both the same  subject.;Abu  tą patį dalyką.;Abu ta pati patalynė.;12, 13
364;Business  management.;Vadybą.;Vadyba.;9
365;And your  children? What do they do?;O  Jūsų vaikai? Ką jie veikia?;O jūsų vaikams? Ką jie daro?;14, 9, 13
366;I have no  children.;Aš  neturiu vaikų.;Aš negrų vaikų.;13
367;I'm not  married, either.;Ir  nesu vedęs.;Ir nesu vedęs.;0
368;You must be  thinking of my sister.;Jūs  tikriausiai galvojate apie mano seserį?;Mes tikriausiai galvojate apie mano mano seserį?;9,  1
369;She has two  children.;Ji turi du  vaikus.;Ji turi du vaikus.;0
370;Holidays;Atostogos;Atostogos;0
371;How was your  holiday then?;Kaip Tavo  atostogos?;Kaip Tavo atostogos?;0
372;Great. We've been  to South Germany by car.;Puikiai.  Mes keliavome po pietinę Vokietiją automobiliu.;Puikiai. Mes keliavome po pietinės Vokietijos automobilių stovėjimo aikštelės.;9, 9, 9, 1, 1
373;I don't know  South Germany.;Aš  visai nežinau pietinės Vokietijos.;Aš visa nežinau pietinės Vokietijos.;0
374;Oh, the area is  wonderful! Meadows, woods, mountains, mountain lakes. We loved it!;O,  vietos puikios! Pievos, miškai, kalnai, ir ežerai. Mums labai patiko.;O, vietos puikios! Pievos, miškai, kalnai, ir ežerai. Mums laboratorijos patiko.;13
375;What was the  weather like?;O koks buvo  oras?;O koks buvo oras?;0
376;We had 7 days  rain and 3 days of sunshine!;Septynias  dienas lijo, o tris - švietė saulė!;septynias diena lijo, o tris - švitė saulė!;12, 9, 12
377;Plans for a  picnic. Making sugestions.;Iškylos  planavimas. Pasiūlymai.;Iškylos planas. Pasiūlymai.;11
378;Are you  hungry?  Or not yet?;Ar Tu jau  alkanas, ar dar ne?;Ar Tu jau alkanas, ar dar ne?;0
379;I'm hungry and  thirsty.;Aš  alkanas ir ištroškęs.;Aš alkanas ir ištroškęs.;0
380;Shall we have our  picnic?;Ar jau  valgysime?;Ar jau valgysime?;0
381;That's a great  idea. Where shall we have the picknic?;Tai  puiki mintis. Kur bus mūsų piknikas?;Tai puiki mintis. Kur bus mūsų piknikas?;0
382;I suggest in the  court gardens.;Siūlau  pilies sode.;Šiūlų piliakalnis sode.;13, 13
383;Yes, that's  grand. Afterwards we can go inside and have a look around. I would like to see the  porcelain collection.;O,  mes galime eiti į vidų ir apžiūrėti pilį. Aš norėčiau pamatyti porceliano  kolekciją.;O, mes galime eiti į vidu ir apžiūrėti pilį. Aš norečiau pamatyti porceliano kolekciją.;12, 12
384;It's very  famous.  It contains all the original pieces from the 18th century.;Ji  gana garsi. Visi daiktai originalūs, iš 18 amžiaus.;Ji gana garsi. Visi daitai originalūs, iš 18 amžiau.;12
385;I've heard about  that. I hope we won't break anything.;Aš  girdėjau apie tai. Tikiuosi, mes jų nesudaužysime.;Aš esu čia. Aš esu čia, aš esu čia.;16
386;Don't  worry! It's  all behind glass.;Nesijaudink! Jie  visi po stiklu.;Nesijaudink! Jie visi po stiklu.;0
387;Turning up late for an appointment;Vėlavimas  į susitikimą;Vėlavimas į susitikimą;0
388;It's now twenty  past 12.;Jau  20 minučių po dvyliktos.;Jau 20 minučių po dvyliktos.;0
389;I had expected  you at 12.;Aš  Jūsų laukiau dvyliktą.;Aš esu Aš jūsų laukimas dvyliktą.;2, 2, 14, 11
390;But you are quite  out of breat!.;Bet  Jūs gi uždusęs!;Bet jūs gi uždusęs!;14
391;I'm sorry. I had  (really) bad luck. This is a black day for me.;Atsiprašau, bet  man labai nesisekė. Nesėkminga diena.;Pasiprašau, lažinkis, labas nesisekė. Nesėkminga diena.;12, 13, 12, 13
392;Everything went  wrong.;Viskas buvo  blogai.;Viskas buvo blogai.;0
393;What do you mean?;Ką Jūs turite galvoje?;Ką jūs turite galvoje?;14
394;Well, the train  arrived late.;Nagi,  traukinys vėlavo.;Nagi, traukinys vėlavo.;0
395;"Then I couldn't  get a taxi; and besides the lift here isn't working either.";Po  to negalėjau rasti taksi, be to čia ir liftas nedirba.;Po to negalėjau rasti taksi, be to, kad cia ir liftas nedirba.;12, 2, 12
396;I must say that's  really too bad. First get your breath back.;Tikrai blogai. Bet pirmiausia atgaukite kvapą. Atsisėskite.;Tikrai blogai. Bet pirmiausia atgaukite kvapą. Atsisėskite.;0
397;Thanks. No  wonder, today is Friday the 13th.;Nieko  nuostabaus, šiandien vasario 13 diena.;Nieko nuostabaus, Šiandien vasario 13 diena.;12
398;To express  surprise and disbelief;Išreikšti  nustebimą ir netikėjimą;Ištvirkęs nustebimas ir netėjimas;13, 9, 12, 13
399;I have a surprise  for you.;Turiu  Tau siurprizą.;Turiu Tau siurprizą.;0
400;What is it,  please do tell me!;Kas tai,  pasakyk.;Kas tai, pasakyk.;0
401;Have a quess.;Spėk.;Spėk.;0
402;What could it be?  I have no idea.;Kas  tai galėtų būti. Neturiu supratimo.;Kas tai gali būti. Neturiu supratimo.;11
403;Imagine you had  won the pools.;Įsivaizduokite,  išlošėte.;Įsivaizduokite, išlošėte.;0
404;What do you mean?;Ką  Jūs turite galvoje?;Ką jūs turite galvoje?;14
405;As I said: You  have won a huge amount of money.;Aš  gi pasakiau. Jūs laimėjote krūvą pinigų.;Aš gi pasakiau. Jūsų laimejote kruvą pinigų.;9, 12, 12
406;What, me? Really?  How come?;Kas?  Aš? Iš tikrųjų? Kaip?;Kas? Aš? Aš tikrų? Kaip?;13, 11
407;I don't know how  to say.;Aš  nežinau, ką ir sakyti.;Aš nežinau, ką ir sakyti.;0
408;We schould have a  drink on that!;Turime išgerti.;Turime išgerti.;0
409;Yes, of course.  I'll pay for it.;Žinoma.  Aš moku.;Aš moku.;3
410;Enquiring  about a mystery (or good luck?);Paslaptis?;Paslapčios?;11
411;Please  tell me inspector, why all these mysteries?;Pasakykite prašom, inspektoriau, kas čia per paslaptis?;Pasikeikimas prašom, inspektoru, kas čia per paslaptį?;13, 12, 9
412;That  I will tell you: this Man has inherited a fortune and doesn't believe it.;Aš galiu pasakyti, jam nusišypsojo laimė. Ir jis netiki.;Iš čia svečiai gali mėgautis lengvumu. Ir jis netiki.;16
413;What  do you mean?;Ką Jūs turite galvoje?;Ką jūs turite galvoje?;14
414;He  just can't believe it.;Jis negali patikėti.;Jis negali patiekti.;13
415;Did  he really inherit it?;Ar jis tikrai laimėjo?;Ar jis tikrai laimėjo?;0
416;Are  you sure it's true?;Ar Jūs tikras, tai tiesa?;Ar jūs tikras, tai tiesa?;14
417;They  are hardly any doubts.;Nėra jokios abejonės.;Nėra jokios abejonės.;0
418;What  do you mean by that?;Ką visa tai reiškia?;Ką visa tai reiškia?;0
419;I  don't believe it either! It's too good to be true!;Aš tikrai netikiu. Tai būtų per daug gerai.;Aš tikrinu netikiu. Tai būstų per daug gerų.;13, 13, 11
420;Two  friends on holiday;Du  draugai atostogauja;Du draugai atostogauja;0
421;I  have to go to the bank and change money.;Aš turiu nueiti į banką ir pakeisti pinigus.;Aš turiu nueiti į banką ir pakeisti pinigus.;0
422;Let's  go together.;Eikime kartu.;Eikime karto.;13
423;I  need money as well.;Man  taip pat reikia pinigų.;Man taip pat reikia pinigų.;0
424;What's  the exchange rate today?;Koks  kursas šiandien?;Koks kursas šindien?;12
425;Not  so favourable, but I haven't any more cash.;Ne  toks jau geras, bet aš nebeturiu grynųjų.;Ne toks jau geras, bet aš nebeturiu grinų.;12, 11
426;Only  traveller's cheques.;Tik  kelioninius čekius.;Tik kelioninius čekius.;0
427;In  the restaurant opposite I've paid with my credit card.;Restorane,  priešais, aš mokėjau kreditine kortele.;Restorane, priešais, aš mokau kreditine kortele.;13
428;That's  possible?;Ar  galima?;Ar galima?;0
429;What  is the food like there?;Kaip  ten valgis?;Kaip ten valgis?;0
430;I  found it very good.;Man  patiko.;Vyras patiko.;13
431;The  chef knows how to cook well.;Virėjas  moka virti.;Virėjas moka virti.;0
432;At the  bank;Banke;Banke;0
433;Would you please  change this 500 mark note into Swiss franks for me?;Iškeiskite  prašom 500 markių į šveicariškus frankus.;Iškeiskite prasom 500 markių į šveicariškus frankus.;12
434;Please go to the  foreign exchange counter.;Eikite  prašom prie užsienio valiutos keitimo langelio.;Eikite prašom prie užsienio valiutos maitinimo langelio.;13
435;Thank  you.;Ačiū.;Ačiū.;0
436;At the  foreign exchange counter;Prie  užsienio valiutos keitimo langelio;Prie užusienio valiutos keitimo langelio;11
437;I'd like Swiss  franks, for 500 marks please.;Norėčiau  šveicariškų frankų už 500 markių.;Norėčiau šveicariškų frankų už 500 markių.;0
438;Certainly. Here  is your money and your receipt.;Prašom.  Štai Jūsų pinigai ir kvitas.;Prašom. Štai Jūsų pinigai ir kvitas.;0
439;Could you also  give me Austrian shilings for 1000 marks please.;Duokite man  prašom dar Austrijos šilingų už 1000 markių?;Duokit man prašom dar Australijos šilingų už 1000 markių?;0
440;Cash or  traveller's cheques?;Grynais  ar kelioniniais čekiais?;Grynai ar kelioniniai čekiai?;12, 9, 9
441;Cash  please.;Grynais  prašom.;Grybas prašom.;13
442;In the  street, asking for help;Gatvėje,  prašant pagalbos;Gatvėje, prašant pagalbos;0
443;Hello, Mrs  Becker. How are you?;Sveiki  p. Becker. Kaip laikotės?;Sveiki p. Becker. Kaip laikotes?;12
444;Fine.  Thanks.;Ahiū.  Gerai.;Ahiū, Gerai.;0
445;How are  you?;O  kaip Jūs?;O kaip Jūs?;0
446;Not so  well.;Taip sau.;Taip sau.;0
447;Oh  dear. What is  the matter then?;O brangioji, kas  yra?;O brangioji, kas ira?;12
448;My credit card is  gone.;Mano  kreditinė kortelė dingo.;Mano kreditinė kortelė dingo.;0
449;I can't find it  anywhere.;Aš  niekur negaliu jos rasti.;Aš niekur negaliu jos rasti.;0
450;When did you last  have it?;Kada  paskutinį kartą ją turėjote?;Kada paskutinysis kartonas turijote?;12, 11, 13, 4, 12
451;Only  yesterday.;Dar vakar.;Dar vakar.;0
452;I paid for  something with the card.;Aš mokkjau už  kažką kortele.;Aš mokau už kažką kortele.;0
453;Go to the bank  straight away.;Eikite tuoj pat  į banką.;Eikite į banką.;3, 3
454;Do come with me  please.;Eikime kartu,  prašau.;Eikimė kartu, prašau.;12
455;I have a bad  headache.;Man labai skauda  galvą.;Man labaai skauda galvą.;12
456;Of course I'll  come with you.;Žinoma, gerai.;Žinoma, gerai.;0
457;We'll go to a  cafe and have a cup of coffee.;Mes užeisime į  kavinę ir išgersime puoduką kavos.;Mes užeisime į kavinę ir išgersime puoduko kavą.;9, 9
458;I have some  aspirin tablets and in the cafe we can get some water.;Aš turiu  aspirino tabletę, o kavinėje gausime vandens.;Aš turiu aspirino tabletę, o kavalieje gausime vandens.;0
459;Plans  for the Evening;Planai  vakarui;Planai vakarui;0
460;What shall we do  this evening?;Ką  mes darysime šį vakarą?;Ką mes darysime <unk> vakarą?;12
461;Do we want to go  to the cinema or to the theatre?;Gal eisime į  kiną ar teatrą?;Gal eisime į kiną ar teatrą?;0
462;I'm sure we'll  still get tickets.;Galėtumėm dar  gauti bilietus.;Galėtumam dar gauti bilietus.;12
463;But we could also  go dancing.;Galėtumėm  ir pašokti nueiti.;Galėtumėm ir pastori nueiti.;12
464;I like  anything,  ballet or theatre.;Aš  mėgstu viską, ir baletą ir teatrą.;Aš mėgstu viską, ir baletą ir teatrą.;0
465;"I also like going  to the cinema; you choose,what to do.";"Aš  mėgstu ir kiną; sugalvok, ką mes darysime.";"Aš megstu ir kiną; sugalvok, ką mes darysime.";12
466;I just want to  have a night out.;Aš  tiesiog norėčiau kur nors išeiti.;Aš tiesiog norėčiau kur nei išeiti.;12
467;Peter remembers  how hard up he is.;Piteris  prisimena, kaip sunku prie kasos.;Piteris prisimena, kaip sunku prie kasos.;0
468;But he can't  suggest watching television.;Bet  jis negali pasiūlyti televizijos.;Bet jis negalutinės nuotraukos.;13, 2, 13
469;They borrow the  newspaper from the man sitting at the table next to them and look for the theatre programme.;Jie pasiskolina  laikraštį iš vyriškio prie gretimo staliuko ir žiūri teatrų programą.;Jie pasiskolina laikrodžiui išvyti iš vyriško prievartinio stalo ir žiuri arbatos programą.;13, 1, 12, 13, 3, 11, 3, 13
470;They find nothing  suitable, and decide to go to a restaurant.;Jie  neranda nieko tinkamo ir nusprendžia nueiti į restoraną.;Jie neranda nieko tinkamo ir nusprendzia nueiti į restoraną.;12
471;I'll take you of course.;Žinoma, aš jus  kviečiu.;Žinoma, aš jus kviečiu.;0
472;I know a good  restaurant. It's fairly small and not expensive.;Aš žinau gerą  restoraną. Jis nedidelis ir nebrangus.;Aš žinau gerą restoraną. Jis nedidelis ir nebrangus.;0
473;Service is good  and the food tastes excelent. That is the most important thing, don't you think?;Aptarnavimas  geras ir maistas puikus. O tai svarbiausia, ar ne?;Aptarnavimas geras ir maistas puikus. O tai svarbiausia, ar ne?;0
474;Yes, thank you.;Taip, ačiū.;Taip, ačiū.;0
475;I can wear the  shirt that I bought a minute ago, and the tie, which you gave me as present.;Ap galiu  apsivilkti marškinius, kuriuos tik ką nusipirkau ir kaklaraištį, kurį tu man  padovanojai.;<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>;16
476;We schould go now.;Mes turėtumėm  jau eiti.;Mes turėtumėm jaunai eiti.;13
477;The shops close  at 6 and I still want to buy something.;Parduotuvės  užsidaro 6-tą, o aš dar noriu ką nors nusipirkti.;Parduotuvės užsidaro 6-tą, o aš dar noriu ką nors nusipirkti.;0
478;Waiter, bill please!;Padavėjau, prašom sąskaitą.;Padavėjai, prašom sąskaitą.;9
479;"A little jug of  coffee, one lemon tea and 2 pieces of cake; that comes to 9 marks 70.";"Mažas kavinukas  kavos, arbata su citrina ir 2 gabaliukai pyrago; už visa tai 9 markės 70.";"Mažas kavinukas kavas, arbata su citrina ir 2 gabaliukai pirago; už visa tai 9 markės 70.";9, 12
480;Here's your bill.;Štai Jūsų  sąskaita.;Štų Jūsų sąskaita.;0
481;Should I give a tip?;Ar aš turiu  duoti arbatpinigių?;Ar aš turiu duotų arbatpinigių?;9
482;Only 30 Pfennigs,  if you want to.;Tiktai 30  pfenigių, jeigu nori.;Tiktai 30 pfenigių, jeigu nori.;0
483;In Germany,  service is always included.;Vokietijoje  aptarnavimas visada įjungtas.;Vokietijoje aptarnavimas visada įjungtas.;0
484;To  clarify a confusion (wrong address);Išaiškinti  nesusipratimą (blogas adresas);Ištvirkęs nesusipratimą (blogas adresas);13
485;Good  morning, are you from the express-courier service?;Labas  rytas. Ar Jūs iš ekspreso kurjerių tarnybos?;Labas rytas. Ar Jūs iš ekspreso kurjerių tarnybos?;0
486;Yes,  that's right.;Taip.;Taip.;0
487;We  have been expecting you.;Mes  laukėme Jūsų.;Mes laukėme Jūsų.;0
488;Come in.;Prašom  įeiti.;Prašom įeiti.;0
489;Thanks.  Did you wait long?;Ačiū.  Ar Jūs laukėte ilgai?;Ačiū. Ar Jūs laukėte ilgai?;0
490;It's  all right. Where are the parcels?;Nieko.  Kur paketas?;Nieko. Kur paketas?;0
491;Have  you got them?;Ar  Jūs turite jį?;Ar JŪS TURITE JĮ?;12
492;Of  course. Here you are, both in the name of Schmidt.;Žinoma.  Štai, abu Šmidto vardu.;Žinoma. Štai, abu Šmidto vardu.;0
493;Schmidt?  My name is Schulz, Elvira Schulz.;Šmidto?  Mano vardas Šulz, Elvyra Šulz.;Mano vardas Šulz, Elvyra Šulz.;3
494;There  must be something wrong. Here it says: Schmidt, Bahnhof Street 12, third floor.;Tai  kažkas negerai. Bet čia parašyta: Šmidt, Bahnhof Street 12, trečias aukštas.;Tai kažkas negerai. Bet čia parašita: Šmidt, Bahnhof Street 12, trečias aukštas.;12
495;Yes,  the address is correct, but we are on the fourth floor. The Schmidts are living on the 3rd floor.;Taip  adresas teisingas, bet mes esame ketvirtame aukšte. Šmidtai gyvena trečiajame.;Taip adresas teisingas, bet mes esame ketvirtame aukštai. Šmidtai gyvena trečiajame.;0
496;Oh,  I'm sorry.;O,  atsiprašau.;O, atsiprašau.;0
497;Goodbye.;Viso  gero.;Viso gero.;0
498;What on earth did they order? Also with express-courier!;Kas  gi po galais čia dedasi? Ir dar ekspreso kurjeriai!;Kas gi po galais cia dedasi? Ir dar ekspreso kurjeriai!;12
