range,en,lt
377-386,I've heard about  that. I hope we won't break anything.,"Aš  girdėjau apie tai. Tikiuosi, mes jų nesudaužysime."
377-386,Don't  worry! It's  all behind glass.,Nesijaudink! Jie  visi po stiklu.
387-397,Turning up late for an appointment,Vėlavimas  į susitikimą
387-397,It's now twenty  past 12.,Jau  20 minučių po dvyliktos.
387-397,I had expected  you at 12.,Aš  Jūsų laukiau dvyliktą.
387-397,But you are quite  out of breat!.,Bet  Jūs gi uždusęs!
387-397,I'm sorry. I had  (really) bad luck. This is a black day for me.,"Atsiprašau, bet  man labai nesisekė. Nesėkminga diena."
387-397,Everything went  wrong.,Viskas buvo  blogai.
387-397,What do you mean?,Ką Jūs turite galvoje?
387-397,"Well, the train  arrived late.","Nagi,  traukinys vėlavo."
387-397,Then I couldn't  get a taxi; and besides the lift here isn't working either.,"Po  to negalėjau rasti taksi, be to čia ir liftas nedirba."
387-397,I must say that's  really too bad. First get your breath back.,Tikrai blogai. Bet pirmiausia atgaukite kvapą. Atsisėskite.
387-397,"Thanks. No  wonder, today is Friday the 13th.","Nieko  nuostabaus, šiandien vasario 13 diena."
398-409,To express  surprise and disbelief,Išreikšti  nustebimą ir netikėjimą
398-409,I have a surprise  for you.,Turiu  Tau siurprizą.
398-409,"What is it,  please do tell me!","Kas tai,  pasakyk."
398-409,Have a quess.,Spėk.
398-409,What could it be?  I have no idea.,Kas  tai galėtų būti. Neturiu supratimo.
398-409,Imagine you had  won the pools.,"Įsivaizduokite,  išlošėte."
398-409,What do you mean?,Ką  Jūs turite galvoje?
398-409,As I said: You  have won a huge amount of money.,Aš  gi pasakiau. Jūs laimėjote krūvą pinigų.
398-409,"What, me? Really?  How come?",Kas?  Aš? Iš tikrųjų? Kaip?
398-409,I don't know how  to say.,"Aš  nežinau, ką ir sakyti."
398-409,We schould have a  drink on that!,Turime išgerti.
398-409,"Yes, of course.  I'll pay for it.",Žinoma.  Aš moku.
410-419,Enquiring  about a mystery (or good luck?),Paslaptis?
410-419,"Please  tell me inspector, why all these mysteries?","Pasakykite prašom, inspektoriau, kas čia per paslaptis?"
410-419,That  I will tell you: this Man has inherited a fortune and doesn't believe it.,"Aš galiu pasakyti, jam nusišypsojo laimė. Ir jis netiki."
410-419,What  do you mean?,Ką Jūs turite galvoje?
410-419,He  just can't believe it.,Jis negali patikėti.
410-419,Did  he really inherit it?,Ar jis tikrai laimėjo?
410-419,Are  you sure it's true?,"Ar Jūs tikras, tai tiesa?"
410-419,They  are hardly any doubts.,Nėra jokios abejonės.
410-419,What  do you mean by that?,Ką visa tai reiškia?
410-419,I  don't believe it either! It's too good to be true!,Aš tikrai netikiu. Tai būtų per daug gerai.
420-431,Two  friends on holiday,Du  draugai atostogauja
420-431,I  have to go to the bank and change money.,Aš turiu nueiti į banką ir pakeisti pinigus.
420-431,Let's  go together.,Eikime kartu.
420-431,I  need money as well.,Man  taip pat reikia pinigų.
420-431,What's  the exchange rate today?,Koks  kursas šiandien?
420-431,"Not  so favourable, but I haven't any more cash.","Ne  toks jau geras, bet aš nebeturiu grynųjų."
420-431,Only  traveller's cheques.,Tik  kelioninius čekius.
420-431,In  the restaurant opposite I've paid with my credit card.,"Restorane,  priešais, aš mokėjau kreditine kortele."
420-431,That's  possible?,Ar  galima?
420-431,What  is the food like there?,Kaip  ten valgis?
420-431,I  found it very good.,Man  patiko.
420-431,The  chef knows how to cook well.,Virėjas  moka virti.
432-441,At the  bank,Banke
432-441,Would you please  change this 500 mark note into Swiss franks for me?,Iškeiskite  prašom 500 markių į šveicariškus frankus.
432-441,Please go to the  foreign exchange counter.,Eikite  prašom prie užsienio valiutos keitimo langelio.
432-441,Thank  you.,Ačiū.
432-441,At the  foreign exchange counter,Prie  užsienio valiutos keitimo langelio
432-441,"I'd like Swiss  franks, for 500 marks please.",Norėčiau  šveicariškų frankų už 500 markių.
432-441,Certainly. Here  is your money and your receipt.,Prašom.  Štai Jūsų pinigai ir kvitas.
432-441,Could you also  give me Austrian shilings for 1000 marks please.,Duokite man  prašom dar Austrijos šilingų už 1000 markių?
432-441,Cash or  traveller's cheques?,Grynais  ar kelioniniais čekiais?
432-441,Cash  please.,Grynais  prašom.
442-458,"In the  street, asking for help","Gatvėje,  prašant pagalbos"
442-458,"Hello, Mrs  Becker. How are you?",Sveiki  p. Becker. Kaip laikotės?
442-458,Fine.  Thanks.,Ahiū.  Gerai.
442-458,How are  you?,O  kaip Jūs?
442-458,Not so  well.,Taip sau.
442-458,Oh  dear. What is  the matter then?,"O brangioji, kas  yra?"
442-458,My credit card is  gone.,Mano  kreditinė kortelė dingo.
442-458,I can't find it  anywhere.,Aš  niekur negaliu jos rasti.
442-458,When did you last  have it?,Kada  paskutinį kartą ją turėjote?
442-458,Only  yesterday.,Dar vakar.
442-458,I paid for  something with the card.,Aš mokkjau už  kažką kortele.
442-458,Go to the bank  straight away.,Eikite tuoj pat  į banką.
442-458,Do come with me  please.,"Eikime kartu,  prašau."
442-458,I have a bad  headache.,Man labai skauda  galvą.
442-458,Of course I'll  come with you.,"Žinoma, gerai."
442-458,We'll go to a  cafe and have a cup of coffee.,Mes užeisime į  kavinę ir išgersime puoduką kavos.
442-458,I have some  aspirin tablets and in the cafe we can get some water.,"Aš turiu  aspirino tabletę, o kavinėje gausime vandens."
459-483,Plans  for the Evening,Planai  vakarui
459-483,What shall we do  this evening?,Ką  mes darysime šį vakarą?
459-483,Do we want to go  to the cinema or to the theatre?,Gal eisime į  kiną ar teatrą?
459-483,I'm sure we'll  still get tickets.,Galėtumėm dar  gauti bilietus.
459-483,But we could also  go dancing.,Galėtumėm  ir pašokti nueiti.
459-483,"I like  anything,  ballet or theatre.","Aš  mėgstu viską, ir baletą ir teatrą."
459-483,"I also like going  to the cinema; you choose,what to do.","Aš  mėgstu ir kiną; sugalvok, ką mes darysime."
459-483,I just want to  have a night out.,Aš  tiesiog norėčiau kur nors išeiti.
459-483,Peter remembers  how hard up he is.,"Piteris  prisimena, kaip sunku prie kasos."
459-483,But he can't  suggest watching television.,Bet  jis negali pasiūlyti televizijos.
459-483,They borrow the  newspaper from the man sitting at the table next to them and look for the theatre programme.,Jie pasiskolina  laikraštį iš vyriškio prie gretimo staliuko ir žiūri teatrų programą.
459-483,"They find nothing  suitable, and decide to go to a restaurant.",Jie  neranda nieko tinkamo ir nusprendžia nueiti į restoraną.
459-483,I'll take you of course.,"Žinoma, aš jus  kviečiu."
459-483,I know a good  restaurant. It's fairly small and not expensive.,Aš žinau gerą  restoraną. Jis nedidelis ir nebrangus.
459-483,"Service is good  and the food tastes excelent. That is the most important thing, don't you think?","Aptarnavimas  geras ir maistas puikus. O tai svarbiausia, ar ne?"
459-483,"Yes, thank you.","Taip, ačiū."
459-483,"I can wear the  shirt that I bought a minute ago, and the tie, which you gave me as present.","Ap galiu  apsivilkti marškinius, kuriuos tik ką nusipirkau ir kaklaraištį, kurį tu man  padovanojai."
459-483,We schould go now.,Mes turėtumėm  jau eiti.
459-483,The shops close  at 6 and I still want to buy something.,"Parduotuvės  užsidaro 6-tą, o aš dar noriu ką nors nusipirkti."
459-483,"Waiter, bill please!","Padavėjau, prašom sąskaitą."
459-483,"A little jug of  coffee, one lemon tea and 2 pieces of cake; that comes to 9 marks 70.","Mažas kavinukas  kavos, arbata su citrina ir 2 gabaliukai pyrago; už visa tai 9 markės 70."
459-483,Here's your bill.,Štai Jūsų  sąskaita.
459-483,Should I give a tip?,Ar aš turiu  duoti arbatpinigių?
459-483,"Only 30 Pfennigs,  if you want to.","Tiktai 30  pfenigių, jeigu nori."
459-483,"In Germany,  service is always included.",Vokietijoje  aptarnavimas visada įjungtas.
484-498,To  clarify a confusion (wrong address),Išaiškinti  nesusipratimą (blogas adresas)
484-498,"Good  morning, are you from the express-courier service?",Labas  rytas. Ar Jūs iš ekspreso kurjerių tarnybos?
484-498,"Yes,  that's right.",Taip.
484-498,We  have been expecting you.,Mes  laukėme Jūsų.
484-498,Come in.,Prašom  įeiti.
484-498,Thanks.  Did you wait long?,Ačiū.  Ar Jūs laukėte ilgai?
484-498,It's  all right. Where are the parcels?,Nieko.  Kur paketas?
484-498,Have  you got them?,Ar  Jūs turite jį?
484-498,"Of  course. Here you are, both in the name of Schmidt.","Žinoma.  Štai, abu Šmidto vardu."
484-498,"Schmidt?  My name is Schulz, Elvira Schulz.","Šmidto?  Mano vardas Šulz, Elvyra Šulz."
484-498,"There  must be something wrong. Here it says: Schmidt, Bahnhof Street 12, third floor.","Tai  kažkas negerai. Bet čia parašyta: Šmidt, Bahnhof Street 12, trečias aukštas."
484-498,"Yes,  the address is correct, but we are on the fourth floor. The Schmidts are living on the 3rd floor.","Taip  adresas teisingas, bet mes esame ketvirtame aukšte. Šmidtai gyvena trečiajame."
484-498,"Oh,  I'm sorry.","O,  atsiprašau."
484-498,Goodbye.,Viso  gero.
484-498,What on earth did they order? Also with express-courier!,Kas  gi po galais čia dedasi? Ir dar ekspreso kurjeriai!
499-523,Airplane disaster in Vilnius - what is known about the event?,Lėktuvo katastrofa Vilniuje – kas žinoma apie įvykį?
499-523,"On Monday morning a plane crash occurred in the capital - in Liepkalnis, near Vilnius Airport, a cargo aircraft ""Boeing 737"" crashed.","Pirmadienio rytą sostinėje įvyko lėktuvo katastrofa – Liepkalnyje, netoli Vilniaus oro uosto, nukrito krovininis orlaivis „Boeing 737“."
499-523,"One person was killed in the incident, three were injured, one of them is a Lithuanian.","Per įvykį vienas žmogus žuvo, trys sužeisti, vienas iš jų yra lietuvis."
499-523,On Monday at 5.28 am received information that a cargo plane crashed in Liepkalnis near the house.,"Pirmadienį 5.28 val. ryto gauta informacija, kad krovininis lėktuvas nukrito Liepkalnyje šalia namo."
499-523,"Commercial aircraft flew to Vilnius from Leipzig, Germany.","Krovininis lėktuvas į Vilnių skrido iš Leipcigo, Vokietijos."
499-523,"Before the flight to Vilnius, the plane stood unused for two days, November 23-24, at Leipzig Airport.","Prieš skrydį į Vilnių lėktuvas dvi dienas, lapkričio 23–24 d., Leipcigo oro uoste stovėjo nenaudojamas, nors įprastai orlaiviu buvo skraidoma kasdien."
499-523,"Airplane crashed in Liepkalnis, at the intersection of Žirniai and Liepkalnis streets.","Lėktuvas nukrito Liepkalnyje, ties Žirnių ir Liepkalnio gatvėmis."
499-523,"Company DHL's commissioned flights were performed by an aircraft belonging to Spanish airlines ""Swiftair"".","Bendrovės DHL užsakomuosius skrydžius vykdė lėktuvas, priklausęs Ispanijos oro linijoms „Swiftair“."
499-523,"In the internet, when the pilot's and flight commander's voice recording appeared, it was noticed that the conversation was completely routine, no signs of panic were recorded.","Internete pasirodžius pilotų ir skrydžio vadovo garso įrašui, pastebėta, kad pokalbis buvo visiškai rutininis, nefiksuota jokių nerimo ženklų."
499-523,DHL informed that due to the plane crash an investigation has been started.,"DHL informavo, kad dėl lėktuvo katastrofos pradėtas tyrimas."
499-523,An incident occurred in the place where it was seen that the aircraft's landing gear touched down more than 100 meters away.,"Incidento vietoje buvo matyti, kad orlaivio nuolaužos pažiro net 100 m atstumu."
499-523,Medical staff arrived on the scene within six minutes.,Medikai į įvykio vietą atvyko per 6 minutes.
499-523,The head of the Vilnius Emergency Medical Assistance Brigade Service Igoris Lukaševas told LRT Radio that the most serious conditions among the wounded crew members are a 54 and 40-year-old people.,"Vilniaus greitosios medicinos pagalbos Išvažiuojamųjų brigadų tarnybos vadovas Igoris Lukaševas LRT RADIJUI teigė, kad iš sužeistų įgulos narių sunkiausia būklė – 54 ir 40 metų asmenų."
499-523,"One of them was at least for a time conscious, spoke English.","Vienas jų bent kurį laiką buvo sąmoningas, kalbėjo angliškai."
499-523,"During flight, they were in the pilot's cabin.",Skrydžio metu jie buvo piloto kabinoje.
499-523,"Survived a 34-year-old crew member of Lithuanian nationality at the time of misfortune was in the aircraft cabin, his injuries were lighter.","Išgyvenęs 34 metų amžiaus įgulos narys lietuvis nelaimės metu buvo orlaivio salone, jo sužalojimai lengvesni."
499-523,"The Mayor of Vilnius Valdas Benkunskas informed that a state of local extreme emergency would be declared in the disaster area, which would help to take care of residents, manage the territory and provide assistance.","Vilniaus meras Valdas Benkunskas informavo, kad katastrofos teritorijoje bus paskelbta lokali ekstremalioji situacija, tai padės pasirūpinti gyventojais, teritorijos tvarkymu, pagalbos teikimu."
499-523,"According to the mayor, the health of people affected by air and water pollution is not a problem.","Pasak mero, pavojaus žmonių sveikatai dėl oro, vandens užterštumo nėra."
499-523,Police department together with the General Prosecutor's Office started an investigation into the circumstances of the incident to clarify them.,Policijos departamentas kartu su Generaline prokuratūra pradėjo ikiteisminį tyrimą įvykio aplinkybėms išsiaiškinti.
499-523,We are investigating all possible causes of the accident.,Tiriamos visos galimos avarijos priežastys.
499-523,"The version of terrorism was not excluded, as on June 19, packages were sent from Lithuania via DHL Lietuva that exploded themselves and caused fires in logistics centers in Leipzig and Birmingham.","Terorizmo versija neatmetama, nes liepos 19 d. iš Lietuvos per „DHL Lietuva“ buvo išsiųsti savaime užsidegantys siuntiniai, jie sukėlė gaisrus logistikos centruose Leipcige ir Birmingame."
499-523,"Only by chance, a cargo in Leipzig was not loaded into the aircraft.",Tik per atsitiktinumą krovinys Leipcige tuomet nebuvo pakrautas į orlaivį.
499-523,There was no indication that the DHL cargo plane crash in Lithuania could be linked to a warning issued by German authorities over the summer about packages carried on planes with explosive devices.,"Visgi pirmadienį popiet Vokietijos vidaus reikalų ministerijos atstovas, kurį citavo „Reuters“, teigė, kad nėra jokių požymių, kad DHL krovininio lėktuvo katastrofa Lietuvoje gali būti susijusi su Vokietijos valdžios institucijų vasarą paskelbtu įspėjimu apie lėktuvais skraidintus paketus su padegamaisiais įtaisais."
499-523,The lecturer of the Antanas Gustaitis Aviation Institute at Vilnius Gediminas Technical University (VILNIUS TECH) Vincas Šnirpūnas told LRT.lt that there may be more than one reason for such events.,"Vilniaus Gedimino technikos universiteto (VILNIUS TECH) Antano Gustaičio aviacijos instituto lektorius Vincas Šnirpūnas LRT.lt teigė, kad tokių įvykių priežasčių gali būti ne viena."
499-523,"However, as he says, in any case it is usually related to human error.","Anot jo, vis dėlto dažniausiai tai susiję su žmogiška klaida."
