range,en,lt,translated_text
262-273,What kind of  paintings are you particularly interested in?,Kokia tapybos rūšimi Jūs daugiausiai domitės?,Kokie paveikslai jus ypač domina?
262-273,Expressionist  paintings like the ones by Kandinsky and Schmidt-Rotluf for  example. I like both very much.,"Ekspresionistai, pavyzdžiui tokie kaip Kandinskis ir  Šmidt-Rotlufas. Aš juos abu mėgstu.","Ekspresionistiniai paveikslai, kaip, pavyzdžiui, Kandinsky ir Schmidt-Rotluf. Man abu labai patinka."
262-273,So you are  only interested in modern art?,"Taigi, Jūs domitės tik moderniu menu?",Ar jus domina tik šiuolaikinis menas?
262-273,"No, I'm also  interested in the impressionists, but not as much.","O ne. Man  patinka ir impresionistai, nors ne perdaug.","Ne, mane taip pat domina impresionistai, bet ne tiek daug."
262-273,"I 'm not  interested in paintings at all, only in photography.",O man visai  nepatinka tapyba. Aš domiuosi fotografija.,"Manęs visiškai nedomina paveikslai, tik fotografija."
274-283,Talking  about the weather,Pokalbis apie orą,Kalbėti apie orą
274-283,Do you know  what the weather is going to be like?,"Ar žinote, koks bus oras?","Ar žinote, koks oras bus?"
274-283,"Yes, I happen  to know it; I've seen the weather report.","Taip, atsitiktinai perskaičiau orų prognozę.","Taip, aš žinau; Aš mačiau orų pranešimą."
274-283,What's the  weather like in London?,Koks bus oras  Londone?,Koks oras yra Londone?
274-283,In London  it's cool; but it's going to improve.,"Bus vėsu, bet žada pasitaisyti.","Londone viskas gerai, bet viskas pagerės."
274-283,And what's  the weather in Berlin going to be like?,O koks bus  oras Berlyne?,Kaip atrodys oras Berlyne?
274-283,"Here it's  going to stay warm, just as yeterday. Here it's going to be a lovely  summer.","Ž  ada būti  saulėtas ir šiltas, toks kaip vakar. Puiki vasara!","Čia jis bus šiltas, kaip ir šiandien. Čia bus graži vasara."
274-283,You are quite  right.,Jūs teisus.,Tu visiškai teisus.
274-283,It's fairly  warm already.,Jau net dabar  šilta.,Jau gana šilta.
274-283,"According to  the report, we will get as much as 30o centigrade today.",Pagal prognozę bus šiandien 30  o šilumos.,"Pasak jo, šiandien bus 30 laipsnių."
284-294,Do  you like it?(To express likes),Ar  Jums patinka?,Ar jums patinka tai? (Išreikšti mėgsta)
284-294,Do you like  Berlin?,Ar patinka  Jums Berlynas?,Ar Jums patinka Berlin?
284-294,"Oh, yes very  much.","Taip, labai  patinka.","O, taip labai."
284-294,What do you  like best?,O kas  daugiausiai patinka?,Kas tau labiausiai patinka?
284-294,I like the  National Gallery and Schloss Charlottenburg best.,Daugiausiai Nacionalinė galerija ir Šarlotenburgo pilis.,Man labiausiai patinka Nacionalinė galerija ir Šlotas Šarlotenburgas.
284-294,But also like  the Court Gardens.,Taip pat  patinka pilies sodas.,"Taip pat, kaip ir sodo sodas."
284-294,Would you like  to live in Berlin?,Ar norėtumėte gyventi Berlyne?,Ar norėtumėte gyventi Berlyne?
284-294,"Oh  yes, that  would be good. I would speak German a lot better then.",Tai būtų puiku. Aš geriau kalbėčiau vokiškai.,"Taip, tai būtų gerai, tada aš daug geriau kalbėčiau vokiškai."
284-294,Where do you  live then?,Kur Jūs gyvenate?,Kur tu gyveni?
284-294,"I live in  London, and you?","Aš gyvenu Londone, o Jūs?","Aš gyvenu Londone, o tu?"
284-294,"I have been  living here in the ""Spreemetropolis' for the past 40 years. I'm a genuine Berliner.",Aš gyvenu čia Šprimetropolyje jau keturis metus. Esu tikras  berlynietis.,"Aš gyvenu čia, ""Spreemetropolyje"" pastaruosius 40 metų."
295-306,To  discuss methods of payment,Apie mokėjimo būdus,Aptarti mokėjimo būdus
295-306,That comes to  125 marks 50.,Tai bus 125 markės ir 50.,Tai yra 125 ženklai 50.
295-306,"I haven't got  that much on me, sorry.","Gaila, prie savęs aš neturiu tiek daug.","Aš nelabai apie tai galvojau, atsiprašau."
295-306,That doesn't  matter. You can pay by credit card.,Tai nieko. Jūs galite mokėti kreditine kortele.,"Tai nesvarbu, galite mokėti kreditine kortele."
295-306,Do you also  take cheques?,O ar galiu čekiais?,Ar jūs taip pat gaunate čekius?
295-306,"Yes, if you  have a valid cheque card (on you).","Taip, jeigu  jie galiojantys.","Taip, jei turite galiojančią čekio kortelę (apie jus)."
295-306,"Yes, of course.","Taip, žinoma.","Taip, žinoma."
295-306,All right  then. Please make the cheque payable to Zille and Co.,Gerai. Išrašykite tada čekį Ciles ir Ko vardu.,"Gerai, prašau, čekį perveskite Zille ir Co."
295-306,And here is  my cheques card.,"Štai čekis, prašau.",Štai ir mano čekių kortelė.
295-306,"Ah,  see, you  are English? You speak German very well.","Ach, Jūs anglas? Bet Jūs kalbate puikiai vokiškai.",Tu labai gerai kalbi vokiškai.
295-306,Congratulations!,Sveikinu!,Sveikinu!
295-306,Thank you  very much.,Ačiū.,Labai ačiū.
307-315,To  express quality,Apie dovanas (kokybė),Išreikšti kokybę
307-315,Have a look at  the present I bought.,"Pažiūrėk, kokią dovaną aš nupirkau.","Pažvelkite į dabartį, kurią nusipirkau."
307-315,"Oh, a  wallet,  made of leather.","O, piniginė, ir odinė.","Piniginė, pagaminta iš odos."
307-315,Who is it  for.,Kam tai?,Kam jis skirtas.
307-315,"For  Max, for  his birthday.","Maksui, jo  gimtadienis.","Maksui, jo gimtadieniui."
307-315,I bought a  spectacle case made from a nice piece of cloth for him; and from his girlfriend he is  getting a genuine silver ring.,O aš nupirkau jam dėklą akiniams iš gražios medžiagos o nuo  savo mergaitės jis gaus tikrą sidabrinį žiedą.,"Nusipirkau jam iš gražaus audinio pagamintą spektaklį, o iš savo merginos jis gauna tikrą sidabrinį žiedą."
307-315,Really?,Tikrai?,Rimtai?
307-315,"Yes, made of  real silver.","Taip, tikrą sidabrinį.",Pagamintas iš tikro sidabro.
307-315,He is well off  this year.,Jam sekasi  šiemet.,Šiemet jam viskas gerai.
316-325,To  describe a person,Apibūdinti asmenį,Norint apibūdinti žmogų
316-325,Could you  please meet my uncle at 12.57?,Ar negalėtum 12.57 sutikti mano dėdę?,Ar galėtumėt susitikti su mano dėde 12.57 val.?
316-325,I'm  busy.,Aš neturiu  laiko.,Aš užsiėmęs.
316-325,"From the  station, you mean?","Turi galvoje,  nuo stoties?","Iš stoties, turi galvoje?"
316-325,"Okay, what  does he look like?","Na gerai, o  kaip jis atrodo?",Kaip jis atrodo?
316-325,"He is very  tall, about 6', and he's rather fat.","Jis labai  aukštas, apie 1,8 m, ir pilnas","Jis labai aukštas, apie 6', ir jis gana storas."
316-325,Does he wear  glasses?,Ar jis  nešioja akinius?,Ar jis nešioja akinius?
316-325,"Yes, and he is  always very elegantly dressed. Most of the time in a dark suit, and he is always carrying  a briefcase.","Taip, jis visada apsirengęs elegantiškai. Dažniausiai tamsiu  kostiumu, visada su portfeliu.","Taip, ir jis visada yra labai elegantiškai apsirengęs. Dažniausiai tamsiu kostiumu, ir jis visada nešioja portfelį."
316-325,There are  hundreds of those types. What's his name then?,Tokių šimtai. Koks gi jo vardas ir pavardė?,Jų yra šimtai.
316-325,"Heinrich  Meier, the same as me.","Henrikas  Mejeris, kaip ir aš.","Heinrich Meier, kaip ir aš."
326-341,Get  well wishes,Palinkkėimai pasveikti.,Gauti gerus norus
326-341,Have you  anything planned for today?,Ar ką nors šiandien planavai?,Ar šiandien ką nors suplanavote?
326-341,"Yes, I have to  go to the hospital.","Taip, turiu nueiti į ligoninę.","Taip, turiu eiti į ligoninę."
326-341,"Oh, what's  hapenned then?",O kas  atsitiko?,"O, kas tada apsėdo?"
326-341,My granndad is  in hospital.,Mano senelis ligoninėje.,Mano močiutė gulėjo ligoninėje.
326-341,I'm going to  visit him,Norėčiau jį aplankyti.,Aš jį aplankysiu
326-341,"He's had an  accident, you know.","Tu gi žinai, jis buvo papuolęs į avariją.",Jis pateko į avariją.
326-341,"Oh,  dear, how  is he then?",O kaip jis  dabar?,"O, brangusis, kaip jis tada?"
326-341,"He's better  now, thank goodness.","Ačiū Dievui, dabar jaučiasi geriau.","Dabar jam geriau, ačiū Dievui."
326-341,"He has had a  car accident, you know,","Tai buvo automobilio avarija, tu žinai.","Jis pateko į avariją, žinote,"
326-341,"Well, when I  think of it, I feel sort of queasy.(lit.)","Kai aš apie  tai galvoju, man tiesiog bloga.","Kai pagalvoju apie tai, jaučiuosi tarsi tingus. (lit.)"
326-341,"I'm sorry for  him. He meant to fly to Zurich, didn't he?","Man gaila. Jis norėjo į Ciuriką skrįsti, ar ne?","Jis norėjo skristi į Ciurichą, ar ne?"
326-341,Yes today  (exactly). He was really unfortunate.,"Tiksliai,  šiandien. Jam tiesiog nepasisekė.",Taip šiandien (tiksliai). Jis buvo tikrai nelaimingas.
326-341,Ich wish him a  speedy recovery.,Linkiu jam kuo greičiau pasveikti.,Ich palinkėti jam greitai atsigauti.
326-341,Thanks. Bye  for now.,Ačiū. Kol kas.,"Ačiū, kol kas."
326-341,Cheers.,Iki.,Į sveikatą.
342-354,The  mysterious briefcase,Paslaptingas  portfelis,Paslaptingasis portfelis
342-354,"Well,  Mrs. B.  I say, your briefcase looks very smart.","O, ponas B., Jūsų portfelis atrodo labai įdomiai.","Na, ponia B. sakau, kad jūsų portfelis atrodo labai protingas."
342-354,What have you  got in it?,Ką Jūs ten turite?,Ką tu ten turi?
342-354,"I don't know  myself, actually.",Aš iš tikrųjų pats nežinau.,"Aš savęs nepažįstu, tiesą sakant."
342-354,What? Do you  mean that you don't know what's in your case?,"Ką? Jūs sakote, kad pats nežinote, ką turite portfelyje?","Ar turi omeny, kad nežinai, kas vyksta tavo atveju?"
342-354,That's what I  said.,"Taip, kaip girdėjote.",Taip ir sakiau.
342-354,Don't you want  to know it?,Ir nenorite žinoti?,Ar nenori žinoti?
342-354,Of course I do.,"Žinoma, noriu.","Žinoma, kad noriu."
342-354,Then I would  certainly feel better.,Jausčiausi tada geriau.,Tuomet tikrai jausčiausi geriau.
342-354,Why don't you  have a look then?,Tai kodėl tada nepažiūrite?,Kodėl tada nepasižiūrėjai?
342-354,"Okay then;  here, look for yourself.","Gerai,  pažiūrėk pats.","Gerai, štai, ieškok savęs."
342-354,"Only papers,  nothing but papers.","Nieko, tik  popieriai.","Tik popierius, nieko daugiau."
342-354,Are you  feeling better now?,Ar dabar Jums  geriau?,Dabar jautiesi geriau?
355-369,"At a  Party,  talking about a family.","Vakarėlyje,  apie šeimą","Vakarėlyje, kai kalbama apie šeimą."
355-369,We haven't seen  each other for ages. How are your children?,Šimtą  metų nesimatėme. Kaip Jūsų vaikai?,Mes nematėme vienas kito jau daug metų.
355-369,"You have got  two,  haven't you?","Jūs  turite du, ar ne?","Turi du, tiesa?"
355-369,That's  right.  Since we last met my daughter has married.,"Taip.  Nuo to laiko, kai buvome susitikę, mano duktė ištekėjo.","Nuo tada, kai paskutinį kartą susitikome, mano dukra ištekėjo."
355-369,"Your daughter is  a doctor, isn't she?","Jūsų  duktė gydytoja, ar ne?","Tavo dukra yra gydytoja, ar ne?"
355-369,"No, my wife is a  doctor.","Ne,  mano žmona yra gydytoja.","Ne, mano žmona yra gydytoja."
355-369,"My daughter is  still at university, and my son as well.","Mano  duktė dar studijuoja universitete, taip pat ir sūnus.","Mano dukra dar mokosi universitete, o sūnus irgi."
355-369,What do they  study then?,Ką jie  studijuoja?,Ką jie studijuoja tada?
355-369,Both the same  subject.,Abu  tą patį dalyką.,Abu tos pačios temos.
355-369,Business  management.,Vadybą.,Verslo vadyba.
355-369,And your  children? What do they do?,O  Jūsų vaikai? Ką jie veikia?,O jūsų vaikai?
355-369,I have no  children.,Aš  neturiu vaikų.,Vaikų neturiu.
355-369,"I'm not  married, either.",Ir  nesu vedęs.,Aš taip pat nesu vedęs.
355-369,You must be  thinking of my sister.,Jūs  tikriausiai galvojate apie mano seserį?,Turbūt galvoji apie mano seserį.
355-369,She has two  children.,Ji turi du  vaikus.,Ji turi du vaikus.
370-376,Holidays,Atostogos,Šventės
370-376,How was your  holiday then?,Kaip Tavo  atostogos?,Kaip tada buvo jūsų atostogos?
370-376,Great. We've been  to South Germany by car.,Puikiai.  Mes keliavome po pietinę Vokietiją automobiliu.,Mes į Pietų Vokietiją atvykome automobiliu.
370-376,I don't know  South Germany.,Aš  visai nežinau pietinės Vokietijos.,Pietų Vokietijos aš nežinau.
370-376,"Oh, the area is  wonderful! Meadows, woods, mountains, mountain lakes. We loved it!","O,  vietos puikios! Pievos, miškai, kalnai, ir ežerai. Mums labai patiko.","O, vietovė nuostabi! Pievos, miškai, kalnai, kalnų ežerai. Mums tai patiko!"
370-376,What was the  weather like?,O koks buvo  oras?,Koks buvo oras?
370-376,We had 7 days  rain and 3 days of sunshine!,"Septynias  dienas lijo, o tris - švietė saulė!",Buvo 7 dienos lietaus ir 3 dienos saulės!
377-386,Plans for a  picnic. Making sugestions.,Iškylos  planavimas. Pasiūlymai.,Planai iškylą. Padaryti sugestions.
377-386,Are you  hungry?  Or not yet?,"Ar Tu jau  alkanas, ar dar ne?",Ar tu alkanas?
377-386,I'm hungry and  thirsty.,Aš  alkanas ir ištroškęs.,Aš alkanas ir ištroškęs.
377-386,Shall we have our  picnic?,Ar jau  valgysime?,Gal mums pikniką?
377-386,That's a great  idea. Where shall we have the picknic?,Tai  puiki mintis. Kur bus mūsų piknikas?,"Tai puiki idėja, kur mes turėsime pikniką?"
377-386,I suggest in the  court gardens.,Siūlau  pilies sode.,Siūlau į teismo sodus.
377-386,"Yes, that's  grand. Afterwards we can go inside and have a look around. I would like to see the  porcelain collection.","O,  mes galime eiti į vidų ir apžiūrėti pilį. Aš norėčiau pamatyti porceliano  kolekciją.","Taip, tai puiku. Po to galime eiti vidun ir apsižvalgyti. Norėčiau pamatyti porceliano kolekciją."
377-386,It's very  famous.  It contains all the original pieces from the 18th century.,"Ji  gana garsi. Visi daiktai originalūs, iš 18 amžiaus.",Tai labai garsus. Jame yra visi originalūs XVIII a. kūriniai.
377-386,I've heard about  that. I hope we won't break anything.,"Aš  girdėjau apie tai. Tikiuosi, mes jų nesudaužysime.","Aš girdėjau apie tai, tikiuosi, kad mes nieko nenulaužsime."
377-386,Don't  worry! It's  all behind glass.,Nesijaudink! Jie  visi po stiklu.,"Nesijaudink, viskas už stiklo."
387-397,Turning up late for an appointment,Vėlavimas  į susitikimą,Vėluoja į susitikimą
387-397,It's now twenty  past 12.,Jau  20 minučių po dvyliktos.,Dabar jau dvidešimt dvylika.
387-397,I had expected  you at 12.,Aš  Jūsų laukiau dvyliktą.,Laukėme tavęs 12 valandą.
387-397,But you are quite  out of breat!.,Bet  Jūs gi uždusęs!,Bet jūs esate visiškai iš karvės!
387-397,I'm sorry. I had  (really) bad luck. This is a black day for me.,"Atsiprašau, bet  man labai nesisekė. Nesėkminga diena.","Atleisk, man (iš tikrųjų) nepasisekė."
387-397,Everything went  wrong.,Viskas buvo  blogai.,Viskas buvo ne taip.
387-397,What do you mean?,Ką Jūs turite galvoje?,Ką turi galvoje?
387-397,"Well, the train  arrived late.","Nagi,  traukinys vėlavo.",Traukinys atvyko vėlai.
387-397,Then I couldn't  get a taxi; and besides the lift here isn't working either.,"Po  to negalėjau rasti taksi, be to čia ir liftas nedirba.",Tada aš negalėjau gauti taksi; ir be lifto čia taip pat neveikia.
387-397,I must say that's  really too bad. First get your breath back.,Tikrai blogai. Bet pirmiausia atgaukite kvapą. Atsisėskite.,"Turiu pasakyti, kad tai labai blogai, pirmiausia atgauk kvėpavimą."
387-397,"Thanks. No  wonder, today is Friday the 13th.","Nieko  nuostabaus, šiandien vasario 13 diena.","Nieko nuostabaus, šiandien penktadienis 13-oji."
398-409,To express  surprise and disbelief,Išreikšti  nustebimą ir netikėjimą,Išreikšti staigmeną ir netikėjimo
398-409,I have a surprise  for you.,Turiu  Tau siurprizą.,Turiu tau staigmeną.
398-409,"What is it,  please do tell me!","Kas tai,  pasakyk.","Kas tai yra, prašau, pasakyk man!"
398-409,Have a quess.,Spėk.,Turėkite quess.
398-409,What could it be?  I have no idea.,Kas  tai galėtų būti. Neturiu supratimo.,Kas tai galėtų būti?
398-409,Imagine you had  won the pools.,"Įsivaizduokite,  išlošėte.","Įsivaizduokite, kad laimėjote lenkus."
398-409,What do you mean?,Ką  Jūs turite galvoje?,Ką turi galvoje?
398-409,As I said: You  have won a huge amount of money.,Aš  gi pasakiau. Jūs laimėjote krūvą pinigų.,"Kaip jau sakiau, jūs laimėjote labai daug pinigų."
398-409,"What, me? Really?  How come?",Kas?  Aš? Iš tikrųjų? Kaip?,"Kas, aš?"
398-409,I don't know how  to say.,"Aš  nežinau, ką ir sakyti.","Nežinau, kaip pasakyti."
398-409,We schould have a  drink on that!,Turime išgerti.,Mes galime gerti iš to!
398-409,"Yes, of course.  I'll pay for it.",Žinoma.  Aš moku.,"Žinoma, aš už tai sumokėsiu."
410-419,Enquiring  about a mystery (or good luck?),Paslaptis?,Paslaptis (ar sėkmės?)
410-419,"Please  tell me inspector, why all these mysteries?","Pasakykite prašom, inspektoriau, kas čia per paslaptis?","Prašau, pasakykite man inspektoriau, kodėl visos šios paslaptys?"
410-419,That  I will tell you: this Man has inherited a fortune and doesn't believe it.,"Aš galiu pasakyti, jam nusišypsojo laimė. Ir jis netiki.",Aš jums pasakysiu: šis žmogus paveldėjo turtą ir netiki.
410-419,What  do you mean?,Ką Jūs turite galvoje?,Ką turi galvoje?
410-419,He  just can't believe it.,Jis negali patikėti.,Jis tiesiog negali tuo patikėti.
410-419,Did  he really inherit it?,Ar jis tikrai laimėjo?,Ar tikrai jį paveldėjo?
410-419,Are  you sure it's true?,"Ar Jūs tikras, tai tiesa?","Ar tu tikras, kad tai tiesa?"
410-419,They  are hardly any doubts.,Nėra jokios abejonės.,Beveik nėra jokių abejonių.
410-419,What  do you mean by that?,Ką visa tai reiškia?,Ką turi galvoje?
410-419,I  don't believe it either! It's too good to be true!,Aš tikrai netikiu. Tai būtų per daug gerai.,"Aš irgi netikiu, kad tai per daug gerai, kad būtų tiesa!"
420-431,Two  friends on holiday,Du  draugai atostogauja,Du draugai atostogauja
420-431,I  have to go to the bank and change money.,Aš turiu nueiti į banką ir pakeisti pinigus.,Aš turiu eiti į banką ir keisti pinigus.
420-431,Let's  go together.,Eikime kartu.,Eime kartu.
420-431,I  need money as well.,Man  taip pat reikia pinigų.,Man taip pat reikia pinigų.
420-431,What's  the exchange rate today?,Koks  kursas šiandien?,Koks valiutos kursas šiandien?
420-431,"Not  so favourable, but I haven't any more cash.","Ne  toks jau geras, bet aš nebeturiu grynųjų.","Ne taip gerai, bet aš daugiau pinigų neturiu."
420-431,Only  traveller's cheques.,Tik  kelioninius čekius.,Tik keliautojų čekiai.
420-431,In  the restaurant opposite I've paid with my credit card.,"Restorane,  priešais, aš mokėjau kreditine kortele.",Priešais restorane aš sumokėjau savo kreditine kortele.
420-431,That's  possible?,Ar  galima?,Ar tai įmanoma?
420-431,What  is the food like there?,Kaip  ten valgis?,Koks maistas yra ten?
420-431,I  found it very good.,Man  patiko.,Man tai labai patiko.
420-431,The  chef knows how to cook well.,Virėjas  moka virti.,"Vadovas žino, kaip gerai gaminti."
432-441,At the  bank,Banke,Prie banko
432-441,Would you please  change this 500 mark note into Swiss franks for me?,Iškeiskite  prašom 500 markių į šveicariškus frankus.,Ar galėtumėte pakeisti šį 500 markių banknotą į Šveicarijos frankus?
432-441,Please go to the  foreign exchange counter.,Eikite  prašom prie užsienio valiutos keitimo langelio.,Prašome eiti į užsienio valiutos keityklą.
432-441,Thank  you.,Ačiū.,Ačiū.
432-441,At the  foreign exchange counter,Prie  užsienio valiutos keitimo langelio,Užsienio valiutos keityklos
432-441,"I'd like Swiss  franks, for 500 marks please.",Norėčiau  šveicariškų frankų už 500 markių.,"Norėčiau šveicariškų frankų, už 500 markių."
432-441,Certainly. Here  is your money and your receipt.,Prašom.  Štai Jūsų pinigai ir kvitas.,Žinoma. Štai jūsų pinigai ir jūsų kvitas.
432-441,Could you also  give me Austrian shilings for 1000 marks please.,Duokite man  prašom dar Austrijos šilingų už 1000 markių?,"Taip pat galite man duoti Austrijos šilingų už 1000 markių, prašau."
432-441,Cash or  traveller's cheques?,Grynais  ar kelioniniais čekiais?,Grynųjų pinigų ar kelionės čekių?
432-441,Cash  please.,Grynais  prašom.,Grynais prašau.
442-458,"In the  street, asking for help","Gatvėje,  prašant pagalbos",Gatvėje – pagalbos prašymas
442-458,"Hello, Mrs  Becker. How are you?",Sveiki  p. Becker. Kaip laikotės?,"Sveiki, ponia Beker."
442-458,Fine.  Thanks.,Ahiū.  Gerai.,Ačiū.
442-458,How are  you?,O  kaip Jūs?,Kaip tu?
442-458,Not so  well.,Taip sau.,Ne taip gerai.
442-458,Oh  dear. What is  the matter then?,"O brangioji, kas  yra?","O, kas tada?"
442-458,My credit card is  gone.,Mano  kreditinė kortelė dingo.,Mano kredito kortelė dingo.
442-458,I can't find it  anywhere.,Aš  niekur negaliu jos rasti.,Niekur nerandu.
442-458,When did you last  have it?,Kada  paskutinį kartą ją turėjote?,Kada paskutinį kartą jį turėjote?
442-458,Only  yesterday.,Dar vakar.,Tik vakar.
442-458,I paid for  something with the card.,Aš mokkjau už  kažką kortele.,Už kažką sumokėjau kortele.
442-458,Go to the bank  straight away.,Eikite tuoj pat  į banką.,Iš karto eikite į banką.
442-458,Do come with me  please.,"Eikime kartu,  prašau.","Prašau, eik su manimi."
442-458,I have a bad  headache.,Man labai skauda  galvą.,Turiu blogą galvos skausmą.
442-458,Of course I'll  come with you.,"Žinoma, gerai.","Žinoma, kad eisiu su tavimi."
442-458,We'll go to a  cafe and have a cup of coffee.,Mes užeisime į  kavinę ir išgersime puoduką kavos.,Nueisime į kavinę ir išgersime kavos.
442-458,I have some  aspirin tablets and in the cafe we can get some water.,"Aš turiu  aspirino tabletę, o kavinėje gausime vandens.","Turiu keletą aspirino tablečių, o kavinėje galime gauti vandens."
459-483,Plans  for the Evening,Planai  vakarui,Planai vakarui
459-483,What shall we do  this evening?,Ką  mes darysime šį vakarą?,Ką veiksime šį vakarą?
459-483,Do we want to go  to the cinema or to the theatre?,Gal eisime į  kiną ar teatrą?,"Ar norime eiti į kiną, ar į teatrą?"
459-483,I'm sure we'll  still get tickets.,Galėtumėm dar  gauti bilietus.,"Esu tikras, kad bilietus gausime."
459-483,But we could also  go dancing.,Galėtumėm  ir pašokti nueiti.,Taip pat galime šokti.
459-483,"I like  anything,  ballet or theatre.","Aš  mėgstu viską, ir baletą ir teatrą.",Man patinka viskas – baletas ar teatras.
459-483,"I also like going  to the cinema; you choose,what to do.","Aš  mėgstu ir kiną; sugalvok, ką mes darysime.","Man taip pat patinka eiti į kiną; jūs pasirenkate, ką daryti."
459-483,I just want to  have a night out.,Aš  tiesiog norėčiau kur nors išeiti.,Aš tik noriu praleisti naktį.
459-483,Peter remembers  how hard up he is.,"Piteris  prisimena, kaip sunku prie kasos.","Petras prisimena, kaip jam sunku."
459-483,But he can't  suggest watching television.,Bet  jis negali pasiūlyti televizijos.,Bet jis negali pasiūlyti žiūrėti televizorių.
459-483,They borrow the  newspaper from the man sitting at the table next to them and look for the theatre programme.,Jie pasiskolina  laikraštį iš vyriškio prie gretimo staliuko ir žiūri teatrų programą.,Jie pasiskolina laikraštį iš šalia sėdinčio vyro ir ieško teatro programos.
459-483,"They find nothing  suitable, and decide to go to a restaurant.",Jie  neranda nieko tinkamo ir nusprendžia nueiti į restoraną.,Jie neranda nieko tinkamo ir nusprendžia eiti į restoraną.
459-483,I'll take you of course.,"Žinoma, aš jus  kviečiu.","Žinoma, nuvesiu tave."
459-483,I know a good  restaurant. It's fairly small and not expensive.,Aš žinau gerą  restoraną. Jis nedidelis ir nebrangus.,"Žinau gerą restoraną, jis gana mažas ir nebrangus."
459-483,"Service is good  and the food tastes excelent. That is the most important thing, don't you think?","Aptarnavimas  geras ir maistas puikus. O tai svarbiausia, ar ne?","Paslauga yra gera, o maistas skonis puikus. Tai svarbiausia, ar ne taip?"
459-483,"Yes, thank you.","Taip, ačiū.","Taip, ačiū."
459-483,"I can wear the  shirt that I bought a minute ago, and the tie, which you gave me as present.","Ap galiu  apsivilkti marškinius, kuriuos tik ką nusipirkau ir kaklaraištį, kurį tu man  padovanojai.","Galiu dėvėti marškinius, kuriuos nusipirkau prieš minutę, ir kaklaraištį, kurį man davei kaip dovaną."
459-483,We schould go now.,Mes turėtumėm  jau eiti.,Mes jau galime eiti.
459-483,The shops close  at 6 and I still want to buy something.,"Parduotuvės  užsidaro 6-tą, o aš dar noriu ką nors nusipirkti.",Parduotuvės užsidaro 6 val. ir vis dar noriu ką nors nusipirkti.
459-483,"Waiter, bill please!","Padavėjau, prašom sąskaitą.","Padavėjau, prašau!"
459-483,"A little jug of  coffee, one lemon tea and 2 pieces of cake; that comes to 9 marks 70.","Mažas kavinukas  kavos, arbata su citrina ir 2 gabaliukai pyrago; už visa tai 9 markės 70.","Šiek tiek kavos, vienos citrinos arbatos ir 2 gabaliukai pyrago; tai ateina iki 9 žymi 70."
459-483,Here's your bill.,Štai Jūsų  sąskaita.,Štai jūsų sąskaita.
459-483,Should I give a tip?,Ar aš turiu  duoti arbatpinigių?,Ar turėčiau duoti patarimą?
459-483,"Only 30 Pfennigs,  if you want to.","Tiktai 30  pfenigių, jeigu nori.","Tik 30 pfenigų, jei nori."
459-483,"In Germany,  service is always included.",Vokietijoje  aptarnavimas visada įjungtas.,Vokietijoje paslaugos visada įtraukiamos.
484-498,To  clarify a confusion (wrong address),Išaiškinti  nesusipratimą (blogas adresas),Painiava (neteisingas adresas)
484-498,"Good  morning, are you from the express-courier service?",Labas  rytas. Ar Jūs iš ekspreso kurjerių tarnybos?,"Labas rytas, ar jūs iš greitojo kurjerių tarnybos?"
484-498,"Yes,  that's right.",Taip.,"Taip, teisingai."
484-498,We  have been expecting you.,Mes  laukėme Jūsų.,Mes jūsų laukėme.
484-498,Come in.,Prašom  įeiti.,Užeik.
484-498,Thanks.  Did you wait long?,Ačiū.  Ar Jūs laukėte ilgai?,Ar ilgai laukėte?
484-498,It's  all right. Where are the parcels?,Nieko.  Kur paketas?,Kur yra siuntiniai?
484-498,Have  you got them?,Ar  Jūs turite jį?,Ar turi juos?
484-498,"Of  course. Here you are, both in the name of Schmidt.","Žinoma.  Štai, abu Šmidto vardu.","Žinoma, čia tu esi, abu Šmito vardu."
484-498,"Schmidt?  My name is Schulz, Elvira Schulz.","Šmidto?  Mano vardas Šulz, Elvyra Šulz.","Mano vardas yra Schulz, Elvira Schulz."
484-498,"There  must be something wrong. Here it says: Schmidt, Bahnhof Street 12, third floor.","Tai  kažkas negerai. Bet čia parašyta: Šmidt, Bahnhof Street 12, trečias aukštas.","Čia parašyta: Schmidt, Bahnhof Street 12, trečias aukštas."
484-498,"Yes,  the address is correct, but we are on the fourth floor. The Schmidts are living on the 3rd floor.","Taip  adresas teisingas, bet mes esame ketvirtame aukšte. Šmidtai gyvena trečiajame.","Taip, adresas teisingas, bet mes esame ketvirtame aukšte. Šmitai gyvena trečiame aukšte."
484-498,"Oh,  I'm sorry.","O,  atsiprašau.","O, atleisk."
484-498,Goodbye.,Viso  gero.,Viso.
484-498,What on earth did they order? Also with express-courier!,Kas  gi po galais čia dedasi? Ir dar ekspreso kurjeriai!,Ką jie užsakė žemėje? Taip pat su express-kurjeriu!
499-523,Airplane disaster in Vilnius - what is known about the event?,Lėktuvo katastrofa Vilniuje – kas žinoma apie įvykį?,Lėktuvo katastrofa Vilniuje - kas žinoma apie renginį?
